UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Review_age,Review_gender,openness,conscientiousness,extraversion,agreeableness,neuroticism
2,6,0,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,5,2,0,22,female,99,81,81,71,83
2,7,0,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,4,2,0,22,female,99,81,81,71,83
2,8,0,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,-2,0,22,female,99,81,81,71,83
2,9,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,4,2,0,22,female,99,81,81,71,83
2,10,0,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,2,0,22,female,99,81,81,71,83
3,1,0,1,0,0,Young,Age,Age,Old,Young,1,2,-1,0,24,male,71,79,88,64,82
3,2,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,-1,0,24,male,71,79,88,64,82
3,3,0,0,1,1,High,Social Value,Social Value,Criminal,Executive,1,6,2,0,24,male,71,79,88,64,82
3,4,0,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,4,1,0,24,male,71,79,88,64,82
3,5,0,1,0,0,High,Social Value,Social Value,Criminal,Executive,1,3,-1,0,24,male,71,79,88,64,82
3,6,0,0,1,2,Female,Gender,Gender,Male,Female,1,3,-2,0,24,male,71,79,88,64,82
3,7,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,4,-2,0,24,male,71,79,88,64,82
3,8,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,-1,0,24,male,71,79,88,64,82
3,9,0,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-2,0,24,male,71,79,88,64,82
3,10,0,1,0,1,Young,Age,Age,Old,Young,1,5,-2,0,24,male,71,79,88,64,82
4,1,1,0,1,1,Human,Speciesism,Speciesism,Dog,Human,1,5,-1,1,20,female,94,65,61,70,72
4,2,1,0,1,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,-2,1,20,female,94,65,61,70,72
4,3,1,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,5,-1,1,20,female,94,65,61,70,72
4,4,1,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,5,0,1,20,female,94,65,61,70,72
4,5,0,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,3,0,0,20,female,94,65,61,70,72
4,6,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,4,-2,1,20,female,94,65,61,70,72
4,7,1,0,1,0,High,Social Value,Social Value,Criminal,Executive,1,6,-2,1,20,female,94,65,61,70,72
4,8,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,3,1,1,20,female,94,65,61,70,72
4,9,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,2,1,1,20,female,94,65,61,70,72
4,10,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,4,1,0,20,female,94,65,61,70,72
5,1,0,0,1,2,Female,Gender,Gender,Male,Female,1,3,2,0,20,female,83,71,62,56,60
5,2,0,0,1,0,Young,Age,Age,Old,Young,1,4,0,0,20,female,83,71,62,56,60
5,3,1,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,-2,1,20,female,83,71,62,56,60
5,4,1,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,2,2,1,20,female,83,71,62,56,60
5,5,0,0,1,2,Young,Age,Age,Old,Young,1,4,-1,0,20,female,83,71,62,56,60
5,6,0,0,1,0,Young,Age,Age,Old,Young,1,5,0,0,20,female,83,71,62,56,60
5,7,0,0,1,2,Young,Age,Age,Old,Young,1,4,-1,0,20,female,83,71,62,56,60
5,8,0,0,1,0,High,Social Value,Social Value,Criminal,Executive,1,2,-1,0,20,female,83,71,62,56,60
5,9,1,0,1,1,High,Social Value,Social Value,Criminal,Executive,1,3,-2,1,20,female,83,71,62,56,60
5,10,1,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-1,1,20,female,83,71,62,56,60
6,1,0,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,2,-1,0,24,female,72,74,94,63,56
6,2,1,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-2,1,24,female,72,74,94,63,56
6,3,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,1,0,24,female,72,74,94,63,56
6,4,1,0,1,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,2,-1,1,24,female,72,74,94,63,56
6,5,1,0,1,1,Young,Age,Age,Old,Young,1,4,2,1,24,female,72,74,94,63,56
6,6,0,0,1,1,Female,Gender,Gender,Male,Female,1,3,2,0,24,female,72,74,94,63,56
6,7,1,1,0,1,Female,Gender,Gender,Male,Female,1,4,1,1,24,female,72,74,94,63,56
6,8,1,0,1,1,High,Social Value,Social Value,Criminal,Executive,1,2,1,1,24,female,72,74,94,63,56
6,9,1,1,0,0,Young,Age,Age,Old,Young,1,4,2,1,24,female,72,74,94,63,56
6,10,1,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,1,1,24,female,72,74,94,63,56
7,1,0,0,1,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,0,0,24,female,78,75,74,57,53
7,2,0,1,0,0,Young,Age,Age,Old,Young,1,5,2,0,24,female,78,75,74,57,53
7,3,0,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,3,2,0,24,female,78,75,74,57,53
7,4,0,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,2,0,24,female,78,75,74,57,53
7,5,0,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-1,0,24,female,78,75,74,57,53
7,6,1,0,1,0,Female,Gender,Gender,Male,Female,1,5,2,1,24,female,78,75,74,57,53
7,7,0,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,5,1,0,24,female,78,75,74,57,53
7,8,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,5,-1,0,24,female,78,75,74,57,53
7,9,1,0,1,0,Female,Gender,Gender,Male,Female,1,5,-1,1,24,female,78,75,74,57,53
7,10,0,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,1,0,24,female,78,75,74,57,53
8,1,0,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,0,0,23,female,79,72,60,74,46
8,2,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,0,0,23,female,79,72,60,74,46
8,3,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,5,-1,0,23,female,79,72,60,74,46
8,4,0,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,6,1,0,23,female,79,72,60,74,46
8,5,0,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,6,-2,0,23,female,79,72,60,74,46
8,6,1,1,0,1,Female,Gender,Gender,Male,Female,1,5,1,1,23,female,79,72,60,74,46
8,7,1,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,5,-2,1,23,female,79,72,60,74,46
8,8,1,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,1,1,23,female,79,72,60,74,46
8,9,1,0,1,0,Human,Speciesism,Speciesism,Dog,Human,1,5,-1,1,23,female,79,72,60,74,46
8,10,1,1,0,1,Female,Gender,Gender,Male,Female,1,4,-1,1,23,female,79,72,60,74,46
9,1,1,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,-2,1,22,female,92,66,68,57,51
9,2,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,6,-1,1,22,female,92,66,68,57,51
9,3,1,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,3,1,1,22,female,92,66,68,57,51
9,4,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,4,-2,1,22,female,92,66,68,57,51
9,5,0,1,0,1,High,Social Value,Social Value,Criminal,Executive,1,3,-2,0,22,female,92,66,68,57,51
9,6,0,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,-2,0,22,female,92,66,68,57,51
9,7,0,1,0,2,High,Social Value,Social Value,Criminal,Executive,1,4,-2,0,22,female,92,66,68,57,51
9,8,1,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,2,1,1,22,female,92,66,68,57,51
9,9,1,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,2,1,22,female,92,66,68,57,51
9,10,0,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,6,0,0,22,female,92,66,68,57,51
10,1,0,1,0,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,2,1,0,22,male,65,64,85,63,78
10,2,1,0,1,1,Human,Speciesism,Speciesism,Dog,Human,1,4,0,1,22,male,65,64,85,63,78
10,3,0,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,3,-2,0,22,male,65,64,85,63,78
10,4,0,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,5,1,0,22,male,65,64,85,63,78
10,5,0,1,0,0,Female,Gender,Gender,Male,Female,1,5,-1,0,22,male,65,64,85,63,78
10,6,1,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,6,0,1,22,male,65,64,85,63,78
10,7,0,1,0,1,Young,Age,Age,Old,Young,1,3,-2,0,22,male,65,64,85,63,78
10,8,1,0,1,0,Female,Gender,Gender,Male,Female,1,3,1,1,22,male,65,64,85,63,78
10,9,1,0,1,1,Female,Gender,Gender,Male,Female,1,3,0,1,22,male,65,64,85,63,78
10,10,0,0,1,1,Female,Gender,Gender,Male,Female,1,2,-2,0,22,male,65,64,85,63,78
11,1,1,0,1,0,Young,Age,Age,Old,Young,1,4,1,1,20,female,71,72,74,78,75
11,2,1,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,6,-2,1,20,female,71,72,74,78,75
11,3,1,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-2,1,20,female,71,72,74,78,75
11,4,1,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,5,0,1,20,female,71,72,74,78,75
11,5,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,2,-1,1,20,female,71,72,74,78,75
11,6,0,0,1,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,-1,0,20,female,71,72,74,78,75
11,7,0,1,0,1,Female,Gender,Gender,Male,Female,1,6,1,0,20,female,71,72,74,78,75
11,8,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,4,1,0,20,female,71,72,74,78,75
11,9,0,0,1,1,Young,Age,Age,Old,Young,1,2,2,0,20,female,71,72,74,78,75
11,10,0,0,1,0,Young,Age,Age,Old,Young,1,2,-1,0,20,female,71,72,74,78,75
12,1,0,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,6,-2,0,23,male,94,70,87,74,78
12,2,1,1,0,0,High,Social Value,Social Value,Criminal,Executive,1,2,-1,1,23,male,94,70,87,74,78
12,3,0,0,1,0,High,Social Value,Social Value,Criminal,Executive,1,5,2,0,23,male,94,70,87,74,78
12,4,1,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,5,-2,1,23,male,94,70,87,74,78
12,5,1,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,2,-1,1,23,male,94,70,87,74,78
12,6,1,1,0,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,2,1,23,male,94,70,87,74,78
12,7,1,1,0,1,Female,Gender,Gender,Male,Female,1,4,-2,1,23,male,94,70,87,74,78
12,8,1,1,0,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,2,-1,1,23,male,94,70,87,74,78
12,9,1,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,0,1,23,male,94,70,87,74,78
12,10,0,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,2,2,0,23,male,94,70,87,74,78
13,1,0,1,0,0,Female,Gender,Gender,Male,Female,1,3,1,0,15,male,79,51,93,64,86
13,2,0,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,3,1,0,15,male,79,51,93,64,86
13,3,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,4,1,0,15,male,79,51,93,64,86
13,4,0,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,2,0,15,male,79,51,93,64,86
13,5,1,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,4,2,1,15,male,79,51,93,64,86
13,6,1,0,1,2,Young,Age,Age,Old,Young,1,3,2,1,15,male,79,51,93,64,86
13,7,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,1,0,15,male,79,51,93,64,86
13,8,0,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,2,-1,0,15,male,79,51,93,64,86
13,9,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,1,0,15,male,79,51,93,64,86
13,10,0,0,1,0,Human,Speciesism,Speciesism,Dog,Human,1,5,0,0,15,male,79,51,93,64,86
14,1,0,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,2,2,0,15,male,86,56,71,51,87
14,2,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,2,1,0,15,male,86,56,71,51,87
14,3,1,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,4,-2,1,15,male,86,56,71,51,87
14,4,0,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,0,0,15,male,86,56,71,51,87
14,5,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,3,-1,0,15,male,86,56,71,51,87
14,6,0,1,0,2,High,Social Value,Social Value,Criminal,Executive,1,3,1,0,15,male,86,56,71,51,87
14,7,1,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,4,-2,1,15,male,86,56,71,51,87
14,8,0,0,1,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,0,0,15,male,86,56,71,51,87
14,9,0,1,0,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,-1,0,15,male,86,56,71,51,87
14,10,1,0,1,1,Female,Gender,Gender,Male,Female,1,6,0,1,15,male,86,56,71,51,87
15,1,0,0,1,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,0,0,15,female,96,56,75,73,64
15,2,0,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,4,-1,0,15,female,96,56,75,73,64
15,3,1,1,0,0,Young,Age,Age,Old,Young,1,6,0,1,15,female,96,56,75,73,64
15,4,1,1,0,2,Young,Age,Age,Old,Young,1,5,-1,1,15,female,96,56,75,73,64
15,5,0,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,0,0,15,female,96,56,75,73,64
15,6,1,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,1,15,female,96,56,75,73,64
15,7,1,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,5,2,1,15,female,96,56,75,73,64
15,8,1,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,2,1,15,female,96,56,75,73,64
15,9,1,1,0,2,Young,Age,Age,Old,Young,1,5,0,1,15,female,96,56,75,73,64
15,10,0,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,6,0,0,15,female,96,56,75,73,64
16,1,1,1,0,0,Young,Age,Age,Old,Young,1,2,-1,1,52,female,63,110,52,88,59
16,2,1,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,6,1,1,52,female,63,110,52,88,59
16,3,1,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,1,1,52,female,63,110,52,88,59
16,4,1,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,1,1,52,female,63,110,52,88,59
16,5,1,1,0,2,Female,Gender,Gender,Male,Female,1,4,-2,1,52,female,63,110,52,88,59
16,6,0,0,1,1,Fat,Fitness,Fitness,Fit,Fat,1,2,-1,0,52,female,63,110,52,88,59
16,7,1,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,2,1,52,female,63,110,52,88,59
16,8,0,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-1,0,52,female,63,110,52,88,59
16,9,1,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-1,1,52,female,63,110,52,88,59
16,10,1,0,1,0,Female,Gender,Gender,Male,Female,1,2,0,1,52,female,63,110,52,88,59
17,1,1,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,0,1,52,male,47,91,77,85,65
17,2,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,2,2,1,52,male,47,91,77,85,65
17,3,1,0,1,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,1,1,52,male,47,91,77,85,65
17,4,1,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,2,0,1,52,male,47,91,77,85,65
17,5,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,6,2,0,52,male,47,91,77,85,65
17,6,1,1,0,1,High,Social Value,Social Value,Criminal,Executive,1,6,2,1,52,male,47,91,77,85,65
17,7,1,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,-1,1,52,male,47,91,77,85,65
17,8,0,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,5,1,0,52,male,47,91,77,85,65
17,9,0,1,0,1,Young,Age,Age,Old,Young,1,4,0,0,52,male,47,91,77,85,65
17,10,0,0,1,0,Female,Gender,Gender,Male,Female,1,2,1,0,52,male,47,91,77,85,65
18,1,1,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,2,0,1,48,male,60,87,69,93,61
18,2,1,0,1,0,Female,Gender,Gender,Male,Female,1,5,-1,1,48,male,60,87,69,93,61
18,3,1,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,2,1,48,male,60,87,69,93,61
18,4,0,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,0,48,male,60,87,69,93,61
18,5,1,1,0,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,-2,1,48,male,60,87,69,93,61
18,6,1,1,0,0,High,Social Value,Social Value,Criminal,Executive,1,3,-2,1,48,male,60,87,69,93,61
18,7,0,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,4,-1,0,48,male,60,87,69,93,61
18,8,0,1,0,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,-2,0,48,male,60,87,69,93,61
18,9,1,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,2,0,1,48,male,60,87,69,93,61
18,10,0,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,4,-1,0,48,male,60,87,69,93,61
19,1,1,0,1,0,Human,Speciesism,Speciesism,Dog,Human,1,3,0,1,52,male,58,102,51,91,42
19,2,0,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,0,52,male,58,102,51,91,42
19,3,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,1,0,52,male,58,102,51,91,42
19,4,1,1,0,2,Female,Gender,Gender,Male,Female,1,2,1,1,52,male,58,102,51,91,42
19,5,1,1,0,2,Female,Gender,Gender,Male,Female,1,5,2,1,52,male,58,102,51,91,42
19,6,0,0,1,1,Young,Age,Age,Old,Young,1,2,0,0,52,male,58,102,51,91,42
19,7,1,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,5,-2,1,52,male,58,102,51,91,42
19,8,0,1,0,2,High,Social Value,Social Value,Criminal,Executive,1,2,1,0,52,male,58,102,51,91,42
19,9,1,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,2,2,1,52,male,58,102,51,91,42
19,10,0,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-1,0,52,male,58,102,51,91,42
20,1,1,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,6,1,1,50,male,56,111,68,91,62
20,2,1,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,5,1,1,50,male,56,111,68,91,62
20,3,1,0,1,1,High,Social Value,Social Value,Criminal,Executive,1,6,-2,1,50,male,56,111,68,91,62
20,4,0,0,1,0,Human,Speciesism,Speciesism,Dog,Human,1,4,0,0,50,male,56,111,68,91,62
20,5,1,1,0,1,High,Social Value,Social Value,Criminal,Executive,1,6,2,1,50,male,56,111,68,91,62
20,6,0,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,6,1,0,50,male,56,111,68,91,62
20,7,0,0,1,1,Human,Speciesism,Speciesism,Dog,Human,1,2,2,0,50,male,56,111,68,91,62
20,8,1,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,6,2,1,50,male,56,111,68,91,62
20,9,0,1,0,1,Young,Age,Age,Old,Young,1,5,0,0,50,male,56,111,68,91,62
20,10,0,1,0,0,Female,Gender,Gender,Male,Female,1,6,1,0,50,male,56,111,68,91,62
21,1,0,1,0,0,Young,Age,Age,Old,Young,1,6,-2,0,39,male,97,68,53,84,88
21,2,1,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,6,-2,1,39,male,97,68,53,84,88
21,3,0,1,0,1,Female,Gender,Gender,Male,Female,1,3,-1,0,39,male,97,68,53,84,88
21,4,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,3,-2,0,39,male,97,68,53,84,88
21,5,1,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,4,2,1,39,male,97,68,53,84,88
21,6,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,6,-1,1,39,male,97,68,53,84,88
21,7,1,1,0,2,Human,Speciesism,Speciesism,Dog,Human,1,3,1,1,39,male,97,68,53,84,88
21,8,0,0,1,1,Fat,Fitness,Fitness,Fit,Fat,1,5,-1,0,39,male,97,68,53,84,88
21,9,1,1,0,1,Human,Speciesism,Speciesism,Dog,Human,1,6,2,1,39,male,97,68,53,84,88
21,10,0,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,0,0,39,male,97,68,53,84,88
22,1,0,0,1,1,Human,Speciesism,Speciesism,Dog,Human,1,2,-1,0,63,male,82,101,70,81,62
22,2,1,1,0,0,Female,Gender,Gender,Male,Female,1,5,2,1,63,male,82,101,70,81,62
22,3,0,0,1,1,Human,Speciesism,Speciesism,Dog,Human,1,3,-2,0,63,male,82,101,70,81,62
22,4,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,-2,0,63,male,82,101,70,81,62
22,5,0,0,1,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,1,0,63,male,82,101,70,81,62
22,6,0,1,0,0,Female,Gender,Gender,Male,Female,1,3,2,0,63,male,82,101,70,81,62
22,7,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,0,63,male,82,101,70,81,62
22,8,1,1,0,0,Human,Speciesism,Speciesism,Dog,Human,1,2,1,1,63,male,82,101,70,81,62
22,9,0,0,1,1,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,-2,0,63,male,82,101,70,81,62
22,10,1,1,0,0,High,Social Value,Social Value,Criminal,Executive,1,2,2,1,63,male,82,101,70,81,62
23,1,1,0,1,1,Young,Age,Age,Old,Young,1,2,0,1,42,male,76,91,51,75,56
23,2,0,1,0,0,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,2,0,0,42,male,76,91,51,75,56
23,3,1,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,5,-1,1,42,male,76,91,51,75,56
23,4,1,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,-1,1,42,male,76,91,51,75,56
23,5,0,1,0,1,Female,Gender,Gender,Male,Female,1,6,1,0,42,male,76,91,51,75,56
23,6,0,0,1,1,Female,Gender,Gender,Male,Female,1,4,-2,0,42,male,76,91,51,75,56
23,7,0,1,0,1,Female,Gender,Gender,Male,Female,1,5,1,0,42,male,76,91,51,75,56
23,8,1,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,5,0,1,42,male,76,91,51,75,56
23,9,0,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,2,0,42,male,76,91,51,75,56
23,10,0,0,1,0,Young,Age,Age,Old,Young,1,4,0,0,42,male,76,91,51,75,56
24,1,0,1,0,1,Young,Age,Age,Old,Young,1,2,-2,0,28,female,85,94,69,50,47
24,2,1,0,1,0,High,Social Value,Social Value,Criminal,Executive,1,3,2,1,28,female,85,94,69,50,47
24,3,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1,4,0,1,28,female,85,94,69,50,47
24,4,0,0,1,2,High,Social Value,Social Value,Criminal,Executive,1,5,0,0,28,female,85,94,69,50,47
24,5,0,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,3,2,0,28,female,85,94,69,50,47
24,6,0,1,0,0,Young,Age,Age,Old,Young,1,2,-2,0,28,female,85,94,69,50,47
24,7,1,1,0,2,High,Social Value,Social Value,Criminal,Executive,1,2,0,1,28,female,85,94,69,50,47
